Principle_Number,Principle_Label,Short_Label,Mentions,Pct_of_Submissions,Gap_Flag
1,Encourage participation of older adults in core university activities,P1,18,72.0,Well Implemented
2,Promote personal and career development in second half of life,P2,8,32.0,Moderately Implemented
3,Recognize the range of educational needs of older adults,P3,7,28.0,Moderately Implemented
4,Promote intergenerational learning,P4,14,56.0,Well Implemented
5,Widen access to online educational opportunities for older adults,P5,4,16.0,Underimplemented
6,Ensure research agenda is informed by needs of aging society,P6,12,48.0,Well Implemented
7,Increase student understanding of the longevity dividend,P7,4,16.0,Underimplemented
8,"Enhance access to health, wellness, arts and cultural activities",P8,12,48.0,Well Implemented
9,Engage actively with university retired community,P9,7,28.0,Moderately Implemented
10,Ensure regular dialogue with aging-interest organizations,P10,5,20.0,Underimplemented
